Site,Year,Species,Band No,Date,Age,Sex,Fat,Wing,Mass,F tissue code,corr dD non-ex H,corr dD ex + non-ex H,C tissue code,Linear corr d13C,wt %C,wt %N,Linear corr d15N,,,,,,,,
JOB,2013,OVEN,2511-51060,04/11/13,SY,U,4,70.5,18.6,JOOV23,-52.68,-26.12,JOOV23,-21.23,50.27,15.58,no_data,,,,,,,,
JOB,2013,OVEN,2511-51085,04/14/13,AHY,U,1,77,16.4,JOOV24,-95.89,-74.29,JOOV24,-24.25,49.18,15.03,no_data,,,,,,,,
JOB,2013,OVEN,2511-51188,04/22/13,AHY,U,1,75,16.1,JOOV25,-82.08,-58.90,JOOV25,-24.47,44.6,13.34,no_data,,,,,,,,
JOB,2013,OVEN,2511-51389,04/27/13,AHY,U,1,72,16.7,JOOV26,-90.56,-68.35,JOOV26,-23.15,45.36,13.94,no_data,,,,,,,,
JOB,2013,OVEN,2511-51527,04/30/13,SY,U,2,78,17.5,JOOV27a,-98.28,-76.95,JOOV27a,-23.8,50.24,15.3,no_data,,,,,,,,
JOB,2013,OVEN,2511-51527,04/30/13,SY,U,2,78,17.5,JOOV27b,-98.86,-77.60,JOOV27b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2013,OVEN,2391-95279,04/20/13,ASY,U,2,72,19.8,MAOV17,-56.17,-31.37,MAOV17,-22.62,45.93,13.66,no_data,,,,,,,,
MAD,2013,OVEN,2521-44897,04/13/13,AHY,U,1,74,17.4,MAOV18,-56.89,-32.17,MAOV18,-23.41,44.07,13.03,no_data,,,,,,,,
MAD,2013,OVEN,2521-57007,04/22/13,AHY,U,0,70,15.5,MAOV19,-52.37,-27.21,MAOV19,-23.57,49.23,15.2,no_data,,,,,,,,
MAD,2013,OVEN,2521-57020,04/23/13,ASY,U,0,77,16,MAOV20,-47.41,-21.76,MAOV20,-21.64,48.08,15.12,no_data,,,,,,,,
MAD,2013,OVEN,2521-57072,04/25/13,ASY,U,0,68,15.2,MAOV21,-61.87,-37.62,MAOV21,-23.52,46.46,16.31,no_data,,,,,,,,
MAD,2013,OVEN,2521-57081,04/25/13,AHY,U,1,76,9.8,MAOV22,-85.67,-63.72,MAOV22,-21.48,48.09,14.75,no_data,,,,,,,,
MAD,2013,OVEN,2521-57084,04/25/13,ASY,U,0,72,16.1,MAOV23,-85.62,-63.67,MAOV23,-23.9,47.57,14.04,no_data,,,,,,,,
MAD,2013,OVEN,2521-57092,04/25/13,SY,U,1,75,17.2,MAOV24a,-91.02,-69.59,MAOV24a,-23.51,47.09,14.17,no_data,,,,,,,,
MAD,2013,OVEN,2521-57092,04/25/13,SY,U,1,75,17.2,MAOV24b,-89.92,-68.38,MAOV24b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2013,OVEN,2521-57093,04/25/13,AHY,U,0,70,15.5,MAOV25,-47.74,-22.13,MAOV25,-19.11,48.25,15.19,no_data,,,,,,,,
MAD,2013,OVEN,2521-57105,04/26/13,AHY,U,0,73,16.1,MAOV26,-88.58,-66.91,MAOV26,-20.81,45,13.79,no_data,,,,,,,,
MAD,2013,OVEN,2521-57107,04/26/13,SY,U,0,75,16.6,MAOV27,-116.07,-97.05,MAOV27,-22.8,43.15,13.35,no_data,,,,,,,,
MAD,2013,OVEN,2521-57108,04/26/13,ASY,U,0,76,15.5,MAOV28,-82.27,-60,MAOV28,-22.77,47.27,14.75,no_data,,,,,,,,
MAD,2013,OVEN,2521-57114,04/26/13,SY,U,1,71,16.6,MAOV29,-80.79,-58.37,MAOV29,-23.7,47.63,15.25,no_data,,,,,,,,
MAD,2013,OVEN,2521-57133,04/28/13,AHY,U,0,75,16.7,MAOV30,-78.84,-56.23,MAOV30,-24.52,46.04,13.5,no_data,,,,,,,,
MAD,2013,OVEN,2521-57137,04/28/13,AHY,U,0,74,17.6,MAOV31,-76.09,-53.22,MAOV31,-22.87,44.47,13.31,no_data,,,,,,,,
MAD,2013,OVEN,2521-57148,04/28/13,AHY,U,1,74,17.8,MAOV32,-118.09,-99.27,MAOV32,-20.71,47.36,14.72,no_data,,,,,,,,
MAD,2013,OVEN,2521-57149,04/28/13,AHY,U,0,73,19.2,MAOV33,-92.6,-71.32,MAOV33,-24.35,40.71,12.87,no_data,,,,,,,,
MAD,2013,OVEN,2521-57190,05/01/13,AHY,U,0,72,14.3,MAOV34,-94.06,-72.92,MAOV34,-24.13,44.08,13.57,no_data,,,,,,,,
MAD,2013,OVEN,2521-57198,05/01/13,SY,U,0,70,16.4,MAOV35,-147.83,-131.87,MAOV35,-24.45,46.09,14.55,no_data,,,,,,,,
MAD,2013,OVEN,2521-57213,05/04/13,SY,U,1,72,18.7,MAOV36,-76.91,-54.11,MAOV36,-23.02,45.79,14.14,no_data,,,,,,,,
MAD,2013,OVEN,2521-57220,05/05/13,ASY,U,0,75,18,MAOV37,-104.5,-84.37,MAOV37,-25.36,48.39,14.01,no_data,,,,,,,,
MAD,2013,OVEN,2521-57223,05/05/13,AHY,U,1,81,20.3,MAOV38,-116.37,-97.38,MAOV38,-22.77,49.43,15.27,no_data,,,,,,,,
MAD,2013,OVEN,2521-57232,05/05/13,AHY,U,0,73,18.6,MAOV39,-135.76,-118.64,MAOV39,-22.06,48.35,15.14,no_data,,,,,,,,
MAD,2013,OVEN,2521-57262,05/05/13,SY,U,1,74,19.1,MAOV40,-143.55,-127.19,MAOV40,-22.84,49.57,15.38,no_data,,,,,,,,
MAD,2013,OVEN,2521-57276,05/07/13,AHY,U,1,72,16.2,MAOV41,-73.93,-50.84,MAOV41,-17.13,47.7,14.76,no_data,,,,,,,,
MAD,2013,OVEN,2521-57282,05/07/13,SY,U,0,74,16.6,MAOV42,-121.99,-103.55,MAOV42,-23.91,44.08,14.74,no_data,,,,,,,,
MAD,2013,OVEN,2591-27207,05/09/13,ASY,U,1,75,17.7,MAOV43a,-98.24,-77.5,MAOV43a,-23.48,49.18,14.98,no_data,,,,,,,,
MAD,2013,OVEN,2591-27207,05/09/13,ASY,U,1,75,17.7,MAOV43b,-100.66,-80.15,MAOV43b,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,OVEN,251140988,04/20/14,SY,U,2,75,20.6,FAOV01a,-61.22,-22.98,CAOV01a,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,OVEN,251140988,04/20/14,SY,U,2,75,20.6,FAOV01b,-63.31,-25.24,CAOV01b,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,OVEN,251140989,04/20/14,SY,U,0,79,18.4,FAOV02,-81.38,-44.80,CAOV02,-23.91,47.53,no_data,no_data,,,,,,,,
APP,2014,OVEN,251140990,04/20/14,SY,U,0,73,17,FAOV03,-91.57,-55.82,CAOV03,-23.60,33.65,no_data,no_data,,,,,,,,
APP,2014,OVEN,251140995,04/20/14,SY,U,1,72,16.5,FAOV04,-77.97,-41.10,CAOV04,-23.25,47.96,no_data,no_data,,,,,,,,
APP,2014,OVEN,251140995,04/20/14,SY,U,1,72,16.5,FAOV05,no_data,no_data,CAOV05,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,OVEN,251140999,04/20/14,SY,U,1,74,16.4,FAOV06a,-88.24,-52.22,CAOV06a,-22.56,45.85,no_data,no_data,,,,,,,,
APP,2014,OVEN,251140999,04/20/14,SY,U,1,74,16.4,FAOV06b,-89.90,-54.01,CAOV06b,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,OVEN,259123359,04/16/14,AHY,U,3,72,20.5,FAOV07,-53.01,-14.09,CAOV07,-23.66,46.51,no_data,no_data,,,,,,,,
APP,2014,OVEN,259123375,04/17/14,SY,U,1,69,17.8,FAOV08a,-61.20,-22.95,CAOV08a,-23.53,48.33,no_data,no_data,,,,,,,,
APP,2014,OVEN,259123375,04/17/14,SY,U,1,69,17.8,FAOV08b,-61.92,-23.73,CAOV08b,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,OVEN,259123380,04/19/14,ASY,U,1,76,16.4,FAOV09,-57.84,-19.32,CAOV09,-23.86,47.65,no_data,no_data,,,,,,,,
APP,2014,OVEN,259123388,04/19/14,ASY,U,3,75,21.1,FAOV10a,-146.02,-114.75,CAOV10a,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,OVEN,259123388,04/19/14,ASY,U,3,75,21.1,FAOV10b,-147.90,-116.78,CAOV10b,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,OVEN,259123392,04/19/14,ASY,U,2,73,19.3,FAOV11,-84.32,-47.98,CAOV11,-23.69,46.03,no_data,no_data,,,,,,,,
APP,2014,OVEN,259123452,04/29/14,ASY,U,0,79,18.4,FAOV12,-80.09,-43.40,CAOV12,-21.66,48.24,no_data,no_data,,,,,,,,
APP,2014,OVEN,271023919,04/16/14,SY,U,0,74,18.5,FAOV13a,-53.57,-14.70,CAOV13a,-22.96,47.42,15.28,6.61,,,,,,,,
APP,2014,OVEN,271023919,04/16/14,SY,U,0,74,18.5,FAOV13b,-56.38,-17.73,CAOV13b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,OVEN,259115802,04/06/14,ASY,U,1,74.5,15.9,FJOV01a,-65.15,-33.53,CJOV01a,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,OVEN,259115802,04/06/14,ASY,U,1,74.5,15.9,FJOV01b,-68.72,-37.44,CJOV01b,-24.34,45.29,14.33,6.10,,,,,,,,
JOB,2014,OVEN,259115830,04/06/14,AHY,U,1,76,16.6,FJOV02,-57.31,-24.94,CJOV02,-23.81,45.92,14.79,7.10,,,,,,,,
JOB,2014,OVEN,259115835,04/07/14,ASY,U,1,76,16.1,FJOV03,-66.17,-34.64,CJOV03,-24.14,42.84,13.24,6.25,,,,,,,,
JOB,2014,OVEN,259115855,04/13/14,ASY,U,1,72.5,15.9,FJOV04,-57.65,-25.31,CJOV04,-22.79,45.42,14.47,5.67,,,,,,,,
JOB,2014,OVEN,259115862,04/15/14,ASY,U,3,77.5,18.8,FJOV05,-131.22,-105.89,CJOV05,-24.23,44.74,14.38,3.59,,,,,,,,
JOB,2014,OVEN,259115882,04/17/14,ASY,U,1,77.5,17.7,FJOV06,-129.46,-103.97,CJOV06,-15.24,44.74,14.11,10.04,,,,,,,,
JOB,2014,OVEN,259115893,04/19/14,AHY,U,2,71,16.9,FJOV07,-56.83,-24.42,CJOV07,-22.35,45.68,14.02,5.99,,,,,,,,
JOB,2014,OVEN,259115894,04/19/14,SY,U,1,71,14.7,FJOV08,-63.25,-31.44,CJOV08,-23.01,46.13,14.91,4.45,,,,,,,,
JOB,2014,OVEN,259115933,04/20/14,ASY,U,1,73,16.6,FJOV09,-71.65,-40.65,CJOV09,-23.76,42.80,13.19,5.28,,,,,,,,
JOB,2014,OVEN,259115939,04/20/14,ASY,U,1,76.5,16.8,FJOV10a,-94.58,-65.76,CJOV10a,-23.15,25.46,no_data,no_data,,,,,,,,
JOB,2014,OVEN,259115939,04/20/14,ASY,U,1,76.5,16.8,FJOV10b,-98.09,-66.40,CJOV10b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,OVEN,259115952,04/21/14,ASY,U,1,74.5,15.8,FJOV11,-57.44,-21.68,CJOV11,-23.73,42.19,12.84,3.89,,,,,,,,
JOB,2014,OVEN,259115976,04/22/14,AHY,U,1,74.5,15,FJOV12,-147.41,-120.65,CJOV12,-21.55,45.92,14.66,3.03,,,,,,,,
JOB,2014,OVEN,259115990,04/23/14,SY,U,2,70,16.2,FJOV13,-71.13,-36.74,CJOV13,-24.19,42.85,13.23,5.41,,,,,,,,
JOB,2014,OVEN,259115992,04/23/14,ASY,U,1,76,15.6,FJOV14,-126.12,-97.24,CJOV14,-24.16,44.54,14.30,4.17,,,,,,,,
JOB,2014,OVEN,259115994,04/23/14,ASY,U,1,76.5,17.2,FJOV15,-80.79,-47.37,CJOV15,-24.68,47.05,14.65,4.05,,,,,,,,
JOB,2014,OVEN,259116020,04/23/14,ASY,U,2,77.5,18.7,FJOV16,-110.25,-79.77,CJOV16,-23.19,45.74,no_data,no_data,,,,,,,,
JOB,2014,OVEN,259116028,04/24/14,ASY,U,3,73,18.9,FJOV17,-138.85,-111.24,CJOV17,-23.03,46.76,14.70,6.06,,,,,,,,
JOB,2014,OVEN,259116039,04/24/14,ASY,U,3,74,17.3,FJOV18,-144.98,-117.98,CJOV18,-22.96,45.06,14.71,2.22,,,,,,,,
JOB,2014,OVEN,259116045,04/24/14,SY,U,2,71.5,16.8,FJOV19,-93.74,-61.61,CJOV19,-22.97,46.64,15.08,5.48,,,,,,,,
JOB,2014,OVEN,259116046,04/24/14,ASY,U,3,77,18.8,FJOV20a,-145.07,-118.08,CJOV20a,-24.32,46.84,no_data,no_data,,,,,,,,
JOB,2014,OVEN,259116046,04/24/14,ASY,U,3,77,18.8,FJOV20b,-151.77,-125.45,CJOV20b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,OVEN,259116048,04/24/14,ASY,U,3,75.5,18.8,FJOV21,-92.80,-60.59,CJOV21,-23.36,46.02,14.78,5.18,,,,,,,,
JOB,2014,OVEN,259116062,04/28/14,AHY,U,1,74,15.3,FJOV22,-148.30,-121.64,CJOV22,-23.70,45.63,14.24,7.84,,,,,,,,
JOB,2014,OVEN,259116063,04/28/14,AHY,U,3,70.5,19.4,FJOV23,-61.95,-26.64,CJOV23,-24.26,46.10,14.39,5.99,,,,,,,,
JOB,2014,OVEN,259116069,04/28/14,ASY,U,4,75.5,19.8,FJOV24,-99.07,-67.48,CJOV24,-23.24,45.40,14.06,6.13,,,,,,,,
JOB,2014,OVEN,259116102,05/01/14,SY,U,1,72,17,FJOV25,-101.81,-70.49,CJOV25,-23.65,44.22,13.98,5.81,,,,,,,,
JOB,2014,OVEN,259116105,05/02/14,SY,U,2,72.5,17.4,FJOV26,-112.89,-82.68,CJOV26,-13.31,46.41,14.19,9.19,,,,,,,,
JOB,2014,OVEN,259116112,05/02/14,AHY,U,2,77.5,16.8,FJOV27,-94.73,-62.71,CJOV27,-24.21,44.93,14.07,6.84,,,,,,,,
JOB,2014,OVEN,259116133,05/03/14,AHY,U,1,72,16.6,FJOV28,-95.47,-63.52,CJOV28,-23.68,47.56,no_data,no_data,,,,,,,,
JOB,2014,OVEN,259116145,05/06/14,SY,U,3,73,18.9,FJOV29,-46.07,-9.17,CJOV29,-23.08,47.33,no_data,no_data,,,,,,,,
JOB,2014,OVEN,259116146,05/06/14,SY,U,3,71,18.9,FJOV30a,-132.98,-104.78,CJOV30a,-22.53,44.43,13.69,5.27,,,,,,,,
JOB,2014,OVEN,259116146,05/06/14,SY,U,3,71,18.9,FJOV30b,-139.78,-112.26,CJOV30b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,OVEN,259116151,05/07/14,AHY,U,4,72,17.9,FJOV31,-95.64,-63.70,CJOV31,-22.72,43.88,13.65,3.92,,,,,,,,
JOB,2014,OVEN,259116152,05/07/14,SY,U,4,73.5,18.3,FJOV32,-76.60,-42.76,CJOV32,-23.12,43.59,13.10,5.25,,,,,,,,
JOB,2014,OVEN,259116153,05/07/14,ASY,U,4,78.5,21.1,FJOV33,-100.03,-68.53,CJOV33,-22.52,45.40,14.15,5.37,,,,,,,,
JOB,2014,OVEN,259116154,05/07/14,ASY,U,3,73,18.8,FJOV34,-128.87,-100.26,CJOV34,-21.75,45.73,14.20,6.88,,,,,,,,
JOB,2014,OVEN,259116155,05/07/14,SY,U,4,72.5,20.3,FJOV35,-96.94,-65.14,CJOV35,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,OVEN,259116158,05/09/14,SY,U,3,75,19.8,FJOV36,-100.29,-68.82,CJOV36,-22.73,46.09,14.32,4.99,,,,,,,,
JOB,2014,OVEN,259116161,05/10/14,AHY,U,2,72.5,18.6,FJOV37a,-91.73,-59.40,CJOV37a,-24.44,45.30,14.26,4.16,,,,,,,,
JOB,2014,OVEN,259116161,05/10/14,AHY,U,2,72.5,18.6,FJOV37b,-91.97,-59.66,CJOV37b,-22.59,47.74,no_data,no_data,,,,,,,,
MAD,2014,OVEN,1831-95335,04/19/14,AHY,U,0,71,14.0,FMOV01a,-58.09,-24.34,CMOV01a,-22.99,44.19,14.54,5.14,,,,,,,,
MAD,2014,OVEN,1831-95335,04/19/14,AHY,U,0,71,14.0,FMOV01b,-51.29,-16.83,CMOV01b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2014,OVEN,1831-95352,04/19/14,AHY,U,0,73,14.5,FMOV02,-65.52,-32.56,CMOV02,-23.73,42.35,12.90,6.30,,,,,,,,
MAD,2014,OVEN,1831-95363,04/20/14,AHY,U,0,76,17.1,FMOV03,-91.90,-61.75,CMOV03,-21.86,44.87,14.26,4.11,,,,,,,,
MAD,2014,OVEN,2391-95110,04/20/14,SY,U,1,74,15.4,FMOV04,-74.27,-42.24,CMOV04,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2014,OVEN,2391-95171,04/21/14,AHY,U,3,71,18.8,FMOV05a,-53.17,-18.90,CMOV05a,-22.86,42.89,13.47,5.10,,,,,,,,
MAD,2014,OVEN,2391-95171,04/21/14,AHY,U,3,71,18.8,FMOV05b,-52.44,-18.09,CMOV05b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2014,OVEN,2391-95181,04/22/14,AHY,U,2,76,19.0,FMOV06,-67.97,-35.28,CMOV06,-24.28,44.62,14.13,5.12,,,,,,,,
MAD,2014,OVEN,2511-43880,04/08/14,AHY,U,1,69,17.2,FMOV07,-56.73,-22.84,CMOV07,-21.69,41.00,12.80,4.32,,,,,,,,
MAD,2014,OVEN,2591-27233,04/15/14,SY,U,0,76,19.1,FMOV08,-71.65,-39.35,CMOV08,-23.05,46.11,14.45,4.05,,,,,,,,
MAD,2014,OVEN,2591-27285,04/19/14,ASY,U,0,76,17.2,FMOV09,-80.87,-49.54,CMOV09,-23.67,42.90,13.30,4.92,,,,,,,,
MAD,2014,OVEN,2591-27328,04/24/14,AHY,U,1,77,16.3,FMOV10a,-129.73,-103.60,CMOV10a,-22.86,45.10,14.10,5.05,,,,,,,,
MAD,2014,OVEN,2591-27328,04/24/14,AHY,U,1,77,16.3,FMOV10b,-136.09,-110.63,CMOV10b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2014,OVEN,2591-27333,04/25/14,AHY,U,1,72,16.4,FMOV11,-79.30,-47.81,CMOV11,-23.96,45.11,14.30,7.09,,,,,,,,
MAD,2014,OVEN,2591-27336,04/25/14,AHY,U,2,72,17.8,FMOV12,-124.39,-97.69,CMOV12,-23.15,42.15,12.94,4.88,,,,,,,,
MAD,2014,OVEN,2591-27342,04/26/14,ASY,U,0,76,14.9,FMOV13,-139.16,-114.03,CMOV13,-23.21,44.05,13.81,5.99,,,,,,,,
MAD,2014,OVEN,2591-27369,04/28/14,ASY,U,1,76,19.7,FMOV14,-92.76,-62.69,CMOV14,-23.41,47.73,14.64,4.39,,,,,,,,
MAD,2014,OVEN,2591-27378,04/28/14,AHY,U,0,77,20.9,FMOV15a,-88.95,-58.48,CMOV15a,-23.10,46.32,14.33,3.91,,,,,,,,
MAD,2014,OVEN,2591-27378,04/28/14,AHY,U,0,77,20.9,FMOV15b,-91.05,-60.81,CMOV15b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2014,OVEN,2591-27379,04/28/14,AHY,U,0,79,16.4,FMOV16,-154.26,-130.73,CMOV16,-22.23,46.81,no_data,no_data,,,,,,,,
MAD,2014,OVEN,2591-27385,04/28/14,SY,U,2,78,18.8,FMOV17,-140.29,-113.53,CMOV17,-24.11,45.63,14.64,5.99,,,,,,,,
MAD,2014,OVEN,2591-27406,04/30/14,SY,U,1,75,17.9,FMOV18,-149.65,-123.92,CMOV18,-23.95,44.95,14.16,4.68,,,,,,,,
MAD,2014,OVEN,2591-27416,05/01/14,SY,U,1,74,17.8,FMOV19,-82.15,-49.01,CMOV19,-21.64,44.56,14.25,4.88,,,,,,,,
MAD,2014,OVEN,2591-27431,05/02/14,ASY,U,2,76,19.2,FMOV20a,-118.25,-89.07,CMOV20a,-24.14,44.05,13.42,3.26,,,,,,,,
MAD,2014,OVEN,2591-27431,05/02/14,ASY,U,2,76,19.2,FMOV20b,-122.73,-94.04,CMOV20b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2014,OVEN,2591-27465,05/03/14,SY,U,0,71,19.1,FMOV21,-121.45,-92.62,CMOV21,-24.35,41.85,12.64,5.24,,,,,,,,
MAD,2014,OVEN,2591-27470,05/03/14,SY,U,2,76,20.2,FMOV22,-113.58,-83.88,CMOV22,-21.76,44.41,13.86,5.30,,,,,,,,
MAD,2014,OVEN,2591-27482,05/04/14,AHY,U,1,70,17.4,FMOV23,-89.48,-57.14,CMOV23,-21.08,45.71,13.84,4.72,,,,,,,,
MAD,2014,OVEN,2591-27497,05/09/14,AHY,U,2,75,18.1,FMOV24,-121.43,-92.60,CMOV24,-22.43,46.32,14.33,4.22,,,,,,,,
JOB,2012,WOTH,1991-53060,03/26/12,SY,U,2,107.5,41.1,JOWO1,-46.22,-17.69,JOWO1,-24.32,47.51,14.89,no_data,,,,,,,,
JOB,2012,WOTH,1991-53072,04/07/12,SY,U,1,109,37.3,JOWO10,-43.17,-9.81,JOWO10,-23.92,47.13,14.83,no_data,,,,,,,,
JOB,2012,WOTH,1991-53074,04/08/12,SY,U,3,106.5,44.9,JOWO11,-53.64,-21.48,JOWO11,-24.52,48.83,15.14,no_data,,,,,,,,
JOB,2012,WOTH,1991-53075,04/08/12,SY,U,1,106.5,39.6,JOWO12,-38.11,-4.17,JOWO12,-24.43,48.75,14.99,no_data,,,,,,,,
JOB,2012,WOTH,1991-53076,04/08/12,SY,U,2,108.5,39.1,JOWO13,-45.89,-12.84,JOWO13,-24.34,50.07,15.31,no_data,,,,,,,,
JOB,2012,WOTH,1991-53078,04/08/12,SY,U,1,104,33.7,JOWO14,-38.77,-4.9,JOWO14,-22.97,49.47,15.01,no_data,,,,,,,,
JOB,2012,WOTH,1991-53087,04/09/12,SY,U,3,106,45.8,JOWO15,-63.15,-32.08,JOWO15,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2012,WOTH,1991-53089,04/09/12,SY,U,1,105.5,40.9,JOWO16,-47.01,-14.09,JOWO16,-23.05,49.96,15.3,no_data,,,,,,,,
JOB,2012,WOTH,1991-53119,04/10/12,ASY,U,1,100.5,36.5,JOWO17,-42.66,-9.24,JOWO17,-22.63,48,14.99,no_data,,,,,,,,
JOB,2012,WOTH,1991-53124,04/10/12,ASY,U,1,100.5,34.4,JOWO18,-28.08,7.01,JOWO18,-23.27,44.23,13.55,no_data,,,,,,,,
JOB,2012,WOTH,1991-53129,04/10/12,SY,U,1,105,37,JOWO19,-46.48,-13.51,JOWO19,-24.52,49.3,15.43,no_data,,,,,,,,
JOB,2012,WOTH,1991-53061,04/01/12,SY,U,3,108,44.1,JOWO2,-29.78,-0.31,JOWO2,-24.43,42.94,12.92,no_data,,,,,,,,
JOB,2012,WOTH,1991-53132,04/12/12,SY,U,3,104,45.9,JOWO20,-64.76,-33.77,JOWO20,-24.92,49.2,15.32,no_data,,,,,,,,
JOB,2012,WOTH,1991-53137,04/16/12,SY,U,4,108,53.3,JOWO21a,-58.49,-26.94,JOWO21a,-22.69,48.89,15.33,no_data,,,,,,,,
JOB,2012,WOTH,1991-53137,04/16/12,SY,U,4,108,53.3,JOWO21b,no_data,no_data,JOWO21b,-23.01,48.56,15.13,no_data,,,,,,,,
JOB,2012,WOTH,1991-53140,04/16/12,SY,U,4,106,48.5,JOWO22,-53.86,-21.89,JOWO22,-23.17,49.24,15.41,no_data,,,,,,,,
JOB,2012,WOTH,1991-53156,04/17/12,SY,U,2,101,42.8,JOWO23,-64.53,-33.51,JOWO23,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2012,WOTH,1991-53179,04/17/12,SY,U,2,110,48.6,JOWO24,-60.24,-28.84,JOWO24,-23.81,49.83,15.51,no_data,,,,,,,,
JOB,2012,WOTH,1991-53213,04/18/12,SY,U,1,110,40.9,JOWO25,-82.14,-52.7,JOWO25,-24.31,48.94,15.26,no_data,,,,,,,,
JOB,2012,WOTH,1991-53214,04/18/12,SY,U,2,109,50.3,JOWO26,-80.9,-51.34,JOWO26,-23.59,48.7,15.03,no_data,,,,,,,,
JOB,2012,WOTH,1991-53279,04/19/12,SY,U,3,100,44.2,JOWO27,-40.9,-7.77,JOWO27,-24.49,48.37,15.14,no_data,,,,,,,,
JOB,2012,WOTH,1991-53282,04/19/12,SY,U,2,104.5,36.9,JOWO28,-47.07,-14.5,JOWO28,-24.7,47.53,14.59,no_data,,,,,,,,
JOB,2012,WOTH,1991-53357,04/20/12,ASY,U,1,113.5,46.6,JOWO29a,-45.07,-12.31,JOWO29a,-24.04,46.49,14.62,no_data,,,,,,,,
JOB,2012,WOTH,1991-53357,04/20/12,ASY,U,1,113.5,46.6,JOWO29b,-45.07,-12.31,JOWO29b,-24.42,44.43,13.67,no_data,,,,,,,,
JOB,2012,WOTH,1991-53063,04/03/12,ASY,U,4,105,45.9,JOWO3,-29.54,-0.06,JOWO3,-23.96,47.21,15.19,no_data,,,,,,,,
JOB,2012,WOTH,1991-53374,04/22/12,SY,U,1,104.5,39.3,JOWO30,-62,-30.75,JOWO30,-23.45,45.36,14.14,no_data,,,,,,,,
JOB,2012,WOTH,1991-53381,04/23/12,SY,U,2,105,50.8,JOWO31,-64.97,-34,JOWO31,-23.57,41.22,12.4,no_data,,,,,,,,
JOB,2012,WOTH,1991-53382,04/23/12,SY,U,1,106,42.1,JOWO32,-49.93,-17.61,JOWO32,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2012,WOTH,1991-53383,04/23/12,AHY,U,1,108,49.5,JOWO33,-62.96,-31.81,JOWO33,-23.91,43.07,13.15,no_data,,,,,,,,
JOB,2012,WOTH,1991-53384,04/23/12,SY,U,3,104,49.8,JOWO34,-53.21,-21.18,JOWO34,-24.59,45.2,13.86,no_data,,,,,,,,
JOB,2012,WOTH,1991-53396,04/24/12,AHY,U,1,107,48.2,JOWO35,-54.7,-22.8,JOWO35,-24.04,48.04,15.18,no_data,,,,,,,,
JOB,2012,WOTH,1991-53397,04/24/12,SY,U,2,111.5,52,JOWO36,-79.78,-50.12,JOWO36,-23.52,48.01,14.95,no_data,,,,,,,,
JOB,2012,WOTH,1991-53399,04/24/12,AHY,U,4,98.5,47.7,JOWO37,-48.06,-15.58,JOWO37,-23.61,39.86,12.29,no_data,,,,,,,,
JOB,2012,WOTH,1991-53401,04/24/12,ASY,U,3,110.5,55.5,JOWO38,-51.8,-19.64,JOWO38,-24.36,49.21,15.33,no_data,,,,,,,,
JOB,2012,WOTH,1991-53403,04/24/12,AHY,U,4,106,51,JOWO39,-50.32,-18.04,JOWO39,-23.45,47.63,14.65,no_data,,,,,,,,
JOB,2012,WOTH,1991-53065,04/04/12,SY,U,2,105,47.1,JOWO4,-33.03,-3.75,JOWO4,-23.03,46.05,14.58,no_data,,,,,,,,
JOB,2012,WOTH,1991-53445,04/28/12,SY,U,2,110,41.6,JOWO40a,-69.62,-39.06,JOWO40a,-23.34,49.37,15.38,no_data,,,,,,,,
JOB,2012,WOTH,1991-53445,04/28/12,SY,U,2,110,41.6,JOWO40b,-66.31,-35.46,JOWO40b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2012,WOTH,1991-53513,04/29/12,AHY,U,3,110,48.6,JOWO41,-73.89,-43.7,JOWO41,-24.78,48.74,15.05,no_data,,,,,,,,
JOB,2012,WOTH,1991-53066,04/06/12,SY,U,3,107,41.6,JOWO5,-40.33,-11.47,JOWO5,-23.68,48.12,15.3,no_data,,,,,,,,
